CANMOREID,URL,XCOORD,YCOORD
30155,https://canmore.org.uk/site/30155/,329180,713040
30156,https://canmore.org.uk/site/30156/,329271,713244
30157,https://canmore.org.uk/site/30157/,329839,714161
30158,https://canmore.org.uk/site/30158/,328260,713560
30159,https://canmore.org.uk/site/30159/,329920,711140
30160,https://canmore.org.uk/site/30160/,329751,714041
30161,https://canmore.org.uk/site/30161/,326800,712000
30162,https://canmore.org.uk/site/30162/,327000,714000
30163,https://canmore.org.uk/site/30163/,329920,713750
30164,https://canmore.org.uk/site/30164/,329150,710570
30166,https://canmore.org.uk/site/30166/,329255,713284
30167,https://canmore.org.uk/site/30167/,327539,710068
30168,https://canmore.org.uk/site/30168/,328000,713000
30169,https://canmore.org.uk/site/30169/,328235,712987
30170,https://canmore.org.uk/site/30170/,328709,711724
30171,https://canmore.org.uk/site/30171/,329663,714312
30172,https://canmore.org.uk/site/30172/,327983,711413
30173,https://canmore.org.uk/site/30173/,327964,711537
30174,https://canmore.org.uk/site/30174/,326405,712301
30175,https://canmore.org.uk/site/30175/,325714,711070
30176,https://canmore.org.uk/site/30176/,325742,710870
30177,https://canmore.org.uk/site/30177/,325600,710671
30309,https://canmore.org.uk/site/30309/,323200,713800
30310,https://canmore.org.uk/site/30310/,323517,710397
30311,https://canmore.org.uk/site/30311/,323000,711000
30312,https://canmore.org.uk/site/30312/,320915,711155
30313,https://canmore.org.uk/site/30313/,320817,710242
30314,https://canmore.org.uk/site/30314/,320100,714200
30315,https://canmore.org.uk/site/30315/,323000,711000
30316,https://canmore.org.uk/site/30316/,320943,710228
30317,https://canmore.org.uk/site/30317/,323077,710965
30318,https://canmore.org.uk/site/30318/,323530,711380
30319,https://canmore.org.uk/site/30319/,320524,710968
30320,https://canmore.org.uk/site/30320/,324120,710260
30321,https://canmore.org.uk/site/30321/,321675,710116
30322,https://canmore.org.uk/site/30322/,320000,711000
30323,https://canmore.org.uk/site/30323/,321557,710084
30324,https://canmore.org.uk/site/30324/,321573,710274
30326,https://canmore.org.uk/site/30326/,321770,710040
30327,https://canmore.org.uk/site/30327/,321780,710040
30328,https://canmore.org.uk/site/30328/,321920,710060
30329,https://canmore.org.uk/site/30329/,320790,711240
30330,https://canmore.org.uk/site/30330/,322409,712167
