CANMOREID,URL,XCOORD,YCOORD
49800,https://canmore.org.uk/site/49800/,311410,624750
49801,https://canmore.org.uk/site/49801/,310660,623450
49802,https://canmore.org.uk/site/49802/,310067,624530
49803,https://canmore.org.uk/site/49803/,312420,621830
49804,https://canmore.org.uk/site/49804/,310400,623840
49805,https://canmore.org.uk/site/49805/,310300,624500
48807,https://canmore.org.uk/site/48807/,304910,633300
48960,https://canmore.org.uk/site/48960/,309500,640400
48510,https://canmore.org.uk/site/48510/,309950,625060
48511,https://canmore.org.uk/site/48511/,309180,627420
48512,https://canmore.org.uk/site/48512/,307030,628140
48513,https://canmore.org.uk/site/48513/,309420,627900
48818,https://canmore.org.uk/site/48818/,309990,649800
48514,https://canmore.org.uk/site/48514/,309730,627810
48515,https://canmore.org.uk/site/48515/,309950,625060
48516,https://canmore.org.uk/site/48516/,308000,628000
48517,https://canmore.org.uk/site/48517/,308900,627300
48524,https://canmore.org.uk/site/48524/,308020,620350
48525,https://canmore.org.uk/site/48525/,309500,624000
48526,https://canmore.org.uk/site/48526/,309700,624800
48527,https://canmore.org.uk/site/48527/,309500,623900
48528,https://canmore.org.uk/site/48528/,309900,624700
48529,https://canmore.org.uk/site/48529/,307150,622390
48530,https://canmore.org.uk/site/48530/,307800,622900
48531,https://canmore.org.uk/site/48531/,305490,620300
48532,https://canmore.org.uk/site/48532/,309740,624230
48533,https://canmore.org.uk/site/48533/,309000,623000
48534,https://canmore.org.uk/site/48534/,308940,623920
48535,https://canmore.org.uk/site/48535/,309250,624100
48536,https://canmore.org.uk/site/48536/,308470,623640
48537,https://canmore.org.uk/site/48537/,307700,622900
48538,https://canmore.org.uk/site/48538/,308800,623000
48539,https://canmore.org.uk/site/48539/,308500,620400
48540,https://canmore.org.uk/site/48540/,309700,620700
48541,https://canmore.org.uk/site/48541/,305930,621710
48542,https://canmore.org.uk/site/48542/,307020,621750
48543,https://canmore.org.uk/site/48543/,308500,622400
48544,https://canmore.org.uk/site/48544/,309700,624910
48545,https://canmore.org.uk/site/48545/,305450,620650
48546,https://canmore.org.uk/site/48546/,308600,620100
48669,https://canmore.org.uk/site/48669/,304800,635000
48671,https://canmore.org.uk/site/48671/,304600,636100
48672,https://canmore.org.uk/site/48672/,304800,635000
49806,https://canmore.org.uk/site/49806/,310300,623200
49807,https://canmore.org.uk/site/49807/,310000,621300
49808,https://canmore.org.uk/site/49808/,310300,624500
49809,https://canmore.org.uk/site/49809/,310000,624000
49810,https://canmore.org.uk/site/49810/,317950,635700
48686,https://canmore.org.uk/site/48686/,304635,636148
48706,https://canmore.org.uk/site/48706/,309450,632230
48707,https://canmore.org.uk/site/48707/,306280,634650
48708,https://canmore.org.uk/site/48708/,306520,634040
49811,https://canmore.org.uk/site/49811/,317900,637850
49812,https://canmore.org.uk/site/49812/,319720,637270
49813,https://canmore.org.uk/site/49813/,315710,635750
49814,https://canmore.org.uk/site/49814/,315470,635140
49815,https://canmore.org.uk/site/49815/,316876,635387
49816,https://canmore.org.uk/site/49816/,316883,635222
49817,https://canmore.org.uk/site/49817/,318100,639820
49818,https://canmore.org.uk/site/49818/,317900,635600
49819,https://canmore.org.uk/site/49819/,317900,635600
49820,https://canmore.org.uk/site/49820/,317298,636660
49821,https://canmore.org.uk/site/49821/,316360,639610
49822,https://canmore.org.uk/site/49822/,316500,635150
49823,https://canmore.org.uk/site/49823/,318670,639080
49824,https://canmore.org.uk/site/49824/,319170,639580
49826,https://canmore.org.uk/site/49826/,319340,638500
49827,https://canmore.org.uk/site/49827/,319400,639600
49828,https://canmore.org.uk/site/49828/,316000,639400
49829,https://canmore.org.uk/site/49829/,317550,637000
49830,https://canmore.org.uk/site/49830/,318400,637600
49831,https://canmore.org.uk/site/49831/,318920,635110
49832,https://canmore.org.uk/site/49832/,315900,639230
49833,https://canmore.org.uk/site/49833/,317000,635000
49834,https://canmore.org.uk/site/49834/,317200,636600
49835,https://canmore.org.uk/site/49835/,319045,637571
49836,https://canmore.org.uk/site/49836/,318300,637674
49837,https://canmore.org.uk/site/49837/,317553,637017
49839,https://canmore.org.uk/site/49839/,318373,637599
49840,https://canmore.org.uk/site/49840/,316400,639200
49841,https://canmore.org.uk/site/49841/,319900,639400
49842,https://canmore.org.uk/site/49842/,319280,637197
49843,https://canmore.org.uk/site/49843/,315280,638660
49844,https://canmore.org.uk/site/49844/,316300,635600
49845,https://canmore.org.uk/site/49845/,319620,639670
49846,https://canmore.org.uk/site/49846/,316200,639400
49847,https://canmore.org.uk/site/49847/,317970,636320
49848,https://canmore.org.uk/site/49848/,319090,639660
49849,https://canmore.org.uk/site/49849/,319700,637400
49850,https://canmore.org.uk/site/49850/,315420,638730
48845,https://canmore.org.uk/site/48845/,309900,649700
48849,https://canmore.org.uk/site/48849/,309800,648900
48855,https://canmore.org.uk/site/48855/,309876,648986
48856,https://canmore.org.uk/site/48856/,309816,649273
48547,https://canmore.org.uk/site/48547/,305550,621100
48548,https://canmore.org.uk/site/48548/,308940,622700
48549,https://canmore.org.uk/site/48549/,309200,622000
48550,https://canmore.org.uk/site/48550/,305310,620240
48551,https://canmore.org.uk/site/48551/,309600,622100
48552,https://canmore.org.uk/site/48552/,309500,621200
48553,https://canmore.org.uk/site/48553/,308700,622050
48554,https://canmore.org.uk/site/48554/,308800,622400
48555,https://canmore.org.uk/site/48555/,308900,621300
48556,https://canmore.org.uk/site/48556/,307750,623380
48557,https://canmore.org.uk/site/48557/,308000,620300
48558,https://canmore.org.uk/site/48558/,306710,622900
48559,https://canmore.org.uk/site/48559/,307860,622710
48560,https://canmore.org.uk/site/48560/,306500,622100
48561,https://canmore.org.uk/site/48561/,309400,623800
48562,https://canmore.org.uk/site/48562/,308300,623300
48563,https://canmore.org.uk/site/48563/,309800,621600
48564,https://canmore.org.uk/site/48564/,309764,624346
48565,https://canmore.org.uk/site/48565/,309700,624900
48566,https://canmore.org.uk/site/48566/,307200,622600
48567,https://canmore.org.uk/site/48567/,306670,620110
48568,https://canmore.org.uk/site/48568/,308030,622790
48569,https://canmore.org.uk/site/48569/,306900,620100
48570,https://canmore.org.uk/site/48570/,307000,621200
48571,https://canmore.org.uk/site/48571/,306500,620400
48572,https://canmore.org.uk/site/48572/,306800,621200
48573,https://canmore.org.uk/site/48573/,307280,621140
48574,https://canmore.org.uk/site/48574/,306480,622030
48575,https://canmore.org.uk/site/48575/,306340,621960
48576,https://canmore.org.uk/site/48576/,308510,623460
48577,https://canmore.org.uk/site/48577/,309970,624787
48585,https://canmore.org.uk/site/48585/,307280,638940
48586,https://canmore.org.uk/site/48586/,308600,637050
48709,https://canmore.org.uk/site/48709/,306538,633756
48710,https://canmore.org.uk/site/48710/,306600,633780
48587,https://canmore.org.uk/site/48587/,307000,639000
48589,https://canmore.org.uk/site/48589/,307800,635000
48711,https://canmore.org.uk/site/48711/,306280,634170
48712,https://canmore.org.uk/site/48712/,305500,633800
48713,https://canmore.org.uk/site/48713/,306620,633720
48714,https://canmore.org.uk/site/48714/,309830,633090
48715,https://canmore.org.uk/site/48715/,309800,634300
48716,https://canmore.org.uk/site/48716/,306200,633560
48717,https://canmore.org.uk/site/48717/,309960,632050
48718,https://canmore.org.uk/site/48718/,309000,633000
48719,https://canmore.org.uk/site/48719/,305100,634700
48720,https://canmore.org.uk/site/48720/,307990,633470
48721,https://canmore.org.uk/site/48721/,305480,633510
48722,https://canmore.org.uk/site/48722/,306000,633000
48723,https://canmore.org.uk/site/48723/,309400,632700
48724,https://canmore.org.uk/site/48724/,309936,633157
48725,https://canmore.org.uk/site/48725/,306500,634020
48726,https://canmore.org.uk/site/48726/,307500,634500
48727,https://canmore.org.uk/site/48727/,307500,634500
48728,https://canmore.org.uk/site/48728/,309370,632780
48729,https://canmore.org.uk/site/48729/,307500,634500
48730,https://canmore.org.uk/site/48730/,305690,634480
48731,https://canmore.org.uk/site/48731/,308830,632870
48732,https://canmore.org.uk/site/48732/,309580,632220
48733,https://canmore.org.uk/site/48733/,306576,633700
48734,https://canmore.org.uk/site/48734/,309270,633510
48735,https://canmore.org.uk/site/48735/,308160,633230
48736,https://canmore.org.uk/site/48736/,308590,633590
48737,https://canmore.org.uk/site/48737/,308490,633570
48738,https://canmore.org.uk/site/48738/,308280,630280
48739,https://canmore.org.uk/site/48739/,306950,634430
51409,https://canmore.org.uk/site/51409/,323510,647520
51410,https://canmore.org.uk/site/51410/,323639,647269
51411,https://canmore.org.uk/site/51411/,324150,645420
51412,https://canmore.org.uk/site/51412/,320830,648010
51413,https://canmore.org.uk/site/51413/,321800,648290
51414,https://canmore.org.uk/site/51414/,320800,646900
51415,https://canmore.org.uk/site/51415/,324000,648000
51416,https://canmore.org.uk/site/51416/,321410,645130
51417,https://canmore.org.uk/site/51417/,321500,647800
51418,https://canmore.org.uk/site/51418/,322100,649900
51419,https://canmore.org.uk/site/51419/,324201,646978
51420,https://canmore.org.uk/site/51420/,324426,648511
51421,https://canmore.org.uk/site/51421/,324200,647100
51422,https://canmore.org.uk/site/51422/,324000,648100
51423,https://canmore.org.uk/site/51423/,323450,645480
51424,https://canmore.org.uk/site/51424/,323500,649500
51425,https://canmore.org.uk/site/51425/,323090,646390
51426,https://canmore.org.uk/site/51426/,323420,646260
51427,https://canmore.org.uk/site/51427/,324620,646600
51428,https://canmore.org.uk/site/51428/,324620,646190
51429,https://canmore.org.uk/site/51429/,324730,646020
51580,https://canmore.org.uk/site/51580/,321270,641420
51581,https://canmore.org.uk/site/51581/,322100,641700
51582,https://canmore.org.uk/site/51582/,324363,641453
51583,https://canmore.org.uk/site/51583/,324366,641341
51584,https://canmore.org.uk/site/51584/,323176,640284
51269,https://canmore.org.uk/site/51269/,327400,639500
51270,https://canmore.org.uk/site/51270/,327350,638770
51271,https://canmore.org.uk/site/51271/,327911,639769
51272,https://canmore.org.uk/site/51272/,329500,639200
51273,https://canmore.org.uk/site/51273/,327820,638110
51274,https://canmore.org.uk/site/51274/,328510,639160
51275,https://canmore.org.uk/site/51275/,329990,638990
51276,https://canmore.org.uk/site/51276/,329170,638290
51430,https://canmore.org.uk/site/51430/,324500,646400
51431,https://canmore.org.uk/site/51431/,324030,647130
51432,https://canmore.org.uk/site/51432/,323600,647200
51433,https://canmore.org.uk/site/51433/,324800,645950
51434,https://canmore.org.uk/site/51434/,324000,647000
51435,https://canmore.org.uk/site/51435/,324600,646470
51436,https://canmore.org.uk/site/51436/,323210,646010
51437,https://canmore.org.uk/site/51437/,324393,647214
51438,https://canmore.org.uk/site/51438/,324000,647000
51439,https://canmore.org.uk/site/51439/,324910,646740
51440,https://canmore.org.uk/site/51440/,325000,640000
51441,https://canmore.org.uk/site/51441/,325050,640390
51442,https://canmore.org.uk/site/51442/,325370,640470
51443,https://canmore.org.uk/site/51443/,325180,640530
51444,https://canmore.org.uk/site/51444/,325270,640610
51445,https://canmore.org.uk/site/51445/,325728,640354
51446,https://canmore.org.uk/site/51446/,325080,640390
51447,https://canmore.org.uk/site/51447/,325048,640444
51448,https://canmore.org.uk/site/51448/,325180,640540
51449,https://canmore.org.uk/site/51449/,325230,640450
51450,https://canmore.org.uk/site/51450/,325450,640340
51451,https://canmore.org.uk/site/51451/,325180,640590
49974,https://canmore.org.uk/site/49974/,316000,648000
49975,https://canmore.org.uk/site/49975/,318200,649200
49976,https://canmore.org.uk/site/49976/,317540,645780
49977,https://canmore.org.uk/site/49977/,315947,649308
49978,https://canmore.org.uk/site/49978/,318520,646700
49979,https://canmore.org.uk/site/49979/,319170,646350
49980,https://canmore.org.uk/site/49980/,319170,646350
49981,https://canmore.org.uk/site/49981/,316137,646724
49982,https://canmore.org.uk/site/49982/,315000,647000
49983,https://canmore.org.uk/site/49983/,315800,649300
49984,https://canmore.org.uk/site/49984/,318200,646100
49985,https://canmore.org.uk/site/49985/,318400,646100
49986,https://canmore.org.uk/site/49986/,318400,646300
49987,https://canmore.org.uk/site/49987/,315610,646330
49988,https://canmore.org.uk/site/49988/,319460,648370
49989,https://canmore.org.uk/site/49989/,316800,646070
49990,https://canmore.org.uk/site/49990/,316250,647000
49991,https://canmore.org.uk/site/49991/,316200,646450
49993,https://canmore.org.uk/site/49993/,310000,649700
49999,https://canmore.org.uk/site/49999/,311900,646300
50000,https://canmore.org.uk/site/50000/,312000,646000
50001,https://canmore.org.uk/site/50001/,312830,646740
50002,https://canmore.org.uk/site/50002/,311480,645610
50004,https://canmore.org.uk/site/50004/,311540,646150
50154,https://canmore.org.uk/site/50154/,319000,655000
50158,https://canmore.org.uk/site/50158/,317730,656000
50159,https://canmore.org.uk/site/50159/,315200,656100
50160,https://canmore.org.uk/site/50160/,316160,656160
51585,https://canmore.org.uk/site/51585/,321139,640106
51586,https://canmore.org.uk/site/51586/,323424,644398
51587,https://canmore.org.uk/site/51587/,323850,644989
51588,https://canmore.org.uk/site/51588/,322200,644300
51589,https://canmore.org.uk/site/51589/,324900,640380
51590,https://canmore.org.uk/site/51590/,321950,641650
51591,https://canmore.org.uk/site/51591/,321560,641460
51592,https://canmore.org.uk/site/51592/,321920,643020
51593,https://canmore.org.uk/site/51593/,320200,644000
51594,https://canmore.org.uk/site/51594/,320400,642100
51595,https://canmore.org.uk/site/51595/,322890,644450
51596,https://canmore.org.uk/site/51596/,320020,640060
51597,https://canmore.org.uk/site/51597/,320000,641000
51598,https://canmore.org.uk/site/51598/,324000,640000
51599,https://canmore.org.uk/site/51599/,324000,640000
51600,https://canmore.org.uk/site/51600/,321250,644200
51601,https://canmore.org.uk/site/51601/,321000,642800
51602,https://canmore.org.uk/site/51602/,322040,641610
51603,https://canmore.org.uk/site/51603/,323000,644300
51604,https://canmore.org.uk/site/51604/,323900,640400
51605,https://canmore.org.uk/site/51605/,324900,640200
51606,https://canmore.org.uk/site/51606/,321180,644380
51607,https://canmore.org.uk/site/51607/,321660,641890
51608,https://canmore.org.uk/site/51608/,321330,643540
51609,https://canmore.org.uk/site/51609/,324394,641403
51610,https://canmore.org.uk/site/51610/,320017,644176
51611,https://canmore.org.uk/site/51611/,322600,641700
51612,https://canmore.org.uk/site/51612/,321470,641950
51613,https://canmore.org.uk/site/51613/,322000,641000
51615,https://canmore.org.uk/site/51615/,325110,656680
51618,https://canmore.org.uk/site/51618/,325000,655300
50005,https://canmore.org.uk/site/50005/,314900,646800
50009,https://canmore.org.uk/site/50009/,311300,645700
50014,https://canmore.org.uk/site/50014/,311100,647400
